zipcode,population,centroid_lat,centroid_lon,regional spatial type,capacity,rc_centroid_lat,rc_centroid_lon,Postcode Sectors,Facility name,Tier,index
194,"9,683 ",51.08056867,-1.306283876,rural,0 ,,,SO23 7,,,
195,"3,011 ",51.06353806,-1.308659306,rural,0 ,,,SO23 8,,,
196,"4,913 ",51.05869482,-1.31239766,rural,"133,021 ",51.054371,-1.305922,SO23 9,Winchester,1,j16
197,"4,214 ",51.07001532,-1.135314744,urban,0 ,,,SO24 0,,,
198,"7,240 ",51.09624789,-1.160082793,urban,"29,456 ",51.081806,-1.17167,SO24 9,Alresford,4,j17
199,"6,830 ",50.91130653,-1.301657698,urban,0 ,,,SO30 0,,,
200,"13,708 ",50.92159193,-1.291866267,urban,"62,308 ",50.926139,-1.300277,SO30 2,Hedge End,3,j18
201,"6,906 ",50.9282859,-1.32936354,urban,0 ,,,SO30 3,,,
202,"6,095 ",50.91682844,-1.306900925,urban,0 ,,,SO30 4,,,
203,"3,030 ",50.88079678,-1.27546483,urban,0 ,,,SO31 1,,,
204,"4,628 ",50.86381839,-1.312156038,urban,0 ,,,SO31 4,,,
205,"6,415 ",50.87561395,-1.337196146,urban,"102,758 ",50.879728,-1.353452,SO31 5,Netley,2,j19
206,"11,598 ",50.86406005,-1.273166361,urban,0 ,,,SO31 6,,,
207,"8,100 ",50.87278462,-1.281617899,urban,0 ,,,SO31 7,,,
208,"8,245 ",50.88576543,-1.310584996,urban,0 ,,,SO31 8,,,
209,"6,646 ",50.85676785,-1.287215141,urban,0 ,,,SO31 9,,,
210,"7,817 ",50.95671161,-1.223470837,urban,"51,980 ",50.957323,-1.221867,SO32 1,Bishops Waltham,4,j20
211,"12,921 ",50.93336708,-1.230386472,urban,0 ,,,SO32 2,,,
212,"2,936 ",50.95709802,-1.156070872,urban,0 ,,,SO32 3,,,
213,"8,811 ",50.9269462,-1.529581286,urban,0 ,,,SO40 2,,,
214,"7,597 ",50.92458319,-1.49767805,urban,0 ,,,SO40 3,,,
215,"5,966 ",50.8965654,-1.456978832,urban,"97,311 ",50.900728,-1.463743,SO40 4,Marchwood,3,j21
216,"5,086 ",50.90743163,-1.520573354,urban,0 ,,,SO40 7,,,
217,"8,226 ",50.92004083,-1.510566748,urban,0 ,,,SO40 8,,,
218,"5,420 ",50.91375233,-1.491464101,urban,0 ,,,SO40 9,,,
219,"10,117 ",50.73984952,-1.592992472,urban,0 ,,,SO41 0,,,
220,"2,806 ",50.75480794,-1.540197338,urban,0 ,,,SO41 3,,,
221,"1,558 ",50.77159676,-1.520387581,urban,0 ,,,SO41 5,,,
222,"3,558 ",50.77706357,-1.59592326,urban,0 ,,,SO41 6,,,
223,"7,226 ",50.7586282,-1.556957224,urban,"98,863 ",50.749266,-1.558411,SO41 8,Efford,2,j22
224,"6,686 ",50.75906377,-1.544992937,urban,0 ,,,SO41 9,,,
225,"4,864 ",50.80617358,-1.538703041,urban,0 ,,,SO42 7,,,
226,"4,379 ",50.88909963,-1.582230893,urban,0 ,,,SO43 7,,,
227,"7,593 ",50.82323197,-1.368218112,urban,0 ,,,SO45 1,,,
228,"6,575 ",50.83575245,-1.388064629,urban,0 ,,,SO45 2,,,
229,"4,795 ",50.85389373,-1.396423536,urban,0 ,,,SO45 3,,,
230,"4,890 ",50.85665114,-1.4094274,urban,0 ,,,SO45 4,,,
231,"7,132 ",50.86484174,-1.412612498,urban,0 ,,,SO45 5,,,
232,"3,388 ",50.86770764,-1.398935825,urban,0 ,,,SO45 6,,,
233,"9,357 ",50.98031991,-1.355876329,urban,0 ,,,SO50 4,,,
234,"10,769 ",50.96537166,-1.359005736,urban,0 ,,,SO50 5,,,
235,"6,790 ",50.97405974,-1.335665489,urban,0 ,,,SO50 6,,,
236,"9,474 ",50.96321839,-1.302345678,urban,"93,342 ",50.960709,-1.285647,SO50 7,Fair Oak,4,j23
237,"6,545 ",50.96678538,-1.317282042,urban,0 ,,,SO50 8,,,
238,"8,907 ",50.96865603,-1.365667669,urban,0 ,,,SO50 9,,,
239,"7,237 ",51.0157243,-1.507939093,urban,"69,924 ",51.021884,-1.48989,SO51 0,Casbrook,3,j24
240,"4,099 ",50.98824124,-1.480269301,urban,0 ,,,SO51 5,,,
241,"4,716 ",50.98088386,-1.56030701,urban,0 ,,,SO51 6,,,
242,"7,686 ",50.9957372,-1.484032427,urban,0 ,,,SO51 7,,,
243,"4,868 ",50.98941512,-1.49204485,urban,0 ,,,SO51 8,,,
244,"1,415 ",50.98997965,-1.464330845,urban,0 ,,,SO51 9,,,
245,"7,205 ",50.97749674,-1.43687636,urban,0 ,,,SO52 9,,,
246,"5,157 ",50.99179944,-1.383000174,urban,0 ,,,SO53 1,,,
247,"8,324 ",50.98442569,-1.373954193,urban,0 ,,,SO53 2,,,
